# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# Written by Penn Davies, from the RMSS Treasure Companion
#
# Verified by Valminder, Jan 2004.

:Start
62-64,Azurite
65-67,Azurmalachite
68-70,Benitoite
71-73,Cassiterite
74-76,Charoite
77-79,Black Choral
80-82,Pink Choral
83-85,White Choral
86-88,Blue Green Chrysocolla
89-91,Green Chrysocolla
92-94,Turquoise Chrysocolla
95-97,Cordierite
98-100,Cuprite

:spg2
1-3,Danburite
4-6,Diopside
7-9,Blue Dioptase
10-12,Green Dioptase
13-15,Dumortierite
16-18,Green Fluorite
19-21,Orange Fluorite
22-24,Purple Fluorite
25-27,White Fluorite
28-30,Grossular
31-33,Hematite
34-36,Hyacinth
37-39,Hydrophane
40-42,Brown Jasper
43-45,Gray Jasper
46-48,Ochre Jasper
49-51,Colorless Kyanite
52-54,White Kyanite
55-57,Yellowish Gray Kyanite
58-60,Labradorite
61-63,Lapis Lazuli
64-66,Lazulite
67-70,Pink Lepidolite
71-73,Purple Lepidolite
74-76,Malachite
77-79,Marcasite
80-82,Marekanite
83-85,Moldavite
86-88,Moonstone
89-91,Morion
92-94,Yellow Natrolite
95-97,Colorless Natrolite
98-100,Black Obsidian

:spg3
1-3,Brown Obsidian
4-6,Gray Obsidian
7-9,Red Obsidian
10-12,Moss Opal
13-15,Pearly Opal
16-18,Wood Opal
19-21,Orthoclase
22-24,Pink Phenakite
25-27,Colorless Phenakite
28-30,Apple Green Prehnite
31-33,Brown Prehnite
34-36,Yellow-green Prehnite
37-39,Pyrite
40-42,Rhodolite
43-44,Rhodonite
45-47,Rock Crystal
48-50,Rose Quartz
51-53,Rutile
54-56,Sagenine
57-59,Sapphire Quartz
60-62,Sepiolite
63-65,Serpentine
66-68,Brown Sphalerite
69-71,Blue Sillimantite
72-74,Green Sillimantite
75-77,Blue Smithsonite
78-80,Pale Green Smithsonite
81-83,Pink Smithsonite
84-86,Smoky Quartz
87-89,Azure Blue Sodalite
90-92,Lavender Sodalite
93-95,Brown Spessarite
96-98,Yellow Spessarite
98-100,Yellow-brown Sphalerite

:spg4
1-3,Colorless Spodumene
4-6,Violet Spodumene
7-9,Yellow Spodumene
10-12,Staurolite
13-15,Sunstone
16-19,Brown Thomsonite
20-22,Green Thomsonite
23-25,Red Thomsonite
26-28,White Thomsonite
29-31,Yellow Thomsonite
32-34,Tiger's Eye
35-37,Turquoise
38-40,Uvite
41-43,Variscite
44-46,Blue Vesuvianite
47-49,Brown Vesuvianite
50-52,Colorless Vesuvianite
53-55,Green Vesuvianite
56-58,Red Vesuvianite
59-61,Yellow Vesuvianite
62-65,Wardite
66-68,Blue Zoisite
69-72,Brown Zoisite
73-75,Greenish Zoisite
76-77,Gray-white Zoisite
78-82,Pink Zoisite
83-85,Colorless Zircon
86-88,Green Zircon
89-91,Gray Zircon
92-94,Red Zircon
95-97,Reddish Brown Zircon
98-100,Yellow Zircon

:vpjewellry
1-2,Altar, [vpchance]
3-4,Anklet, [vpjewcomp]
5-6,Armband, [vpjewcomp]
7-8,Bell, [vpjewcomp]
9-10,Belt, [vpjewcomp]
11-12,Bracelet, [vpjewcomp]
13-14,Bracket, [vpjewcomp]
15-16,Brazier, [vpjewcomp]
17-18,Brooch, [vpjewcomp]
19,Candelabra, [vpjewcomp]
20-21,Chain, [vpjewcomp]
22,Chalice, [vpchance]
23-24,Chimes, [vpjewcomp]
25-26,Choker, [vpjewcomp]
27-28,Clasp, [vpjewcomp]
29-30,Coffer, [vpjewcomp]
31-32,Collar, [vpjewcomp]
33-34,Comb, [vpjewcomp]
35,Coronet, [vpjewcomp]
36,Crown, [vpjewcomp]
37-38,Decanter, [vpchance]
39,Diadem, [vpjewcomp]
40-41,Earring, [vpjewcomp]
42-43,Ewer, [vpjewcomp]
44-45,Flagon, [vpchance]
46-47,Flask, [vpjewcomp]
48-49,Fob, [vpjewcomp]
50-51,Fork, [vpjewcomp]
52-53,Goblet, [vpchance]
54-55,Headband (fillet), [vpjewcomp]
56-57,Holy Symbol, [vpjewcomp]
58-59,Idol, [vpchance]
60-61,Incense Burner, [vpjewcomp]
62-63,Knife, [vpjewcomp]
64-65,Lamp, [vpjewcomp]
66-67,Locket, [vpjewcomp]
68-69,Medal, [vpjewcomp]
70-71,Medallion, [vpjewcomp]
72-73,Necklace, [vpjewcomp]
74,Orb, [vpjewcomp]
75-76,Pendant, [vpjewcomp]
77-78,Pin, [vpjewcomp]
79-80,Smoking pipe, [vpjewcomp]
81-82,Plate, [vpjewcomp]
83-84,Platter, [vpjewcomp]
85-86,Razor, [vpjewcomp]
87-88,Ring, [vpjewcomp]
89,Scepter, [vpjewcomp]
90-91,Sconce, [vpjewcomp]
92,Seal, [vpchance]
93-94,Spoon, [vpjewcomp]
95,Statuette/figurine, [vpchance]
96-97,Tankard, [vpjewcomp]
98,Tiara, [vpjewcomp]
99,Urn, [vpchance]
100,Vase, [vpchance]

:vpchance
1-4,opaque [spg]
5-10,[vpjewcomp]

:pjewellry
1-2,Altar, [pchance]
3-4,Anklet, [pjewcomp]
5-6,Armband, [pjewcomp]
7-8,Bell, [pjewcomp]
9-10,Belt, [pjewcomp]
11-12,Bracelet, [pjewcomp]
13-14,Bracket, [pjewcomp]
15-16,Brazier, [pjewcomp]
17-18,Brooch, [pjewcomp]
19,Candelabra, [pjewcomp]
20-21,Chain, [pjewcomp]
22,Chalice, [pchance]
23-24,Chimes, [pjewcomp]
25-26,Choker, [pjewcomp]
27-28,Clasp, [pjewcomp]
29-30,Coffer, [pjewcomp]
31-32,Collar, [pjewcomp]
33-34,Comb, [pjewcomp]
35,Coronet, [pjewcomp]
36,Crown, [pjewcomp]
37-38,Decanter, [pchance]
39,Diadem, [pjewcomp]
40-41,Earring, [pjewcomp]
42-43,Ewer, [pjewcomp]
44-45,Flagon, [pchance]
46-47,Flask, [pjewcomp]
48-49,Fob, [pjewcomp]
50-51,Fork, [pjewcomp]
52-53,Goblet, [pchance]
54-55,Headband (fillet), [pjewcomp]
56-57,Holy Symbol, [pjewcomp]
58-59,Idol, [pchance]
60-61,Incense Burner, [pjewcomp]
62-63,Knife, [pjewcomp]
64-65,Lamp, [pjewcomp]
66-67,Locket, [pjewcomp]
68-69,Medal, [pjewcomp]
70-71,Medallion, [pjewcomp]
72-73,Necklace, [pjewcomp]
74,Orb, [pjewcomp]
75-76,Pendant, [pjewcomp]
77-78,Pin, [pjewcomp]
79-80,Smoking pipe, [pjewcomp]
81-82,Plate, [pjewcomp]
83-84,Platter, [pjewcomp]
85-86,Razor, [pjewcomp]
87-88,Ring, [pjewcomp]
89,Scepter, [pjewcomp]
90-91,Sconce, [pjewcomp]
92,Seal, [pchance]
93-94,Spoon, [pjewcomp]
95,Statuette/figurine, [pchance]
96-97,Tankard, [pjewcomp]
98,Tiara, [pjewcomp]
99,Urn, [pchance]
100,Vase, [pchance]

:pchance
1-4,opaque [spg]
5-10,[pjewcomp]

:jewellry
1-2,Altar, [chance]
3-4,Anklet, [jewcomp]
5-6,Armband, [jewcomp]
7-8,Bell, [jewcomp]
9-10,Belt, [jewcomp]
11-12,Bracelet, [jewcomp]
13-14,Bracket, [jewcomp]
15-16,Brazier, [jewcomp]
17-18,Brooch, [jewcomp]
19,Candelabra, [jewcomp]
20-21,Chain, [jewcomp]
22,Chalice, [chance]
23-24,Chimes, [jewcomp]
25-26,Choker, [jewcomp]
27-28,Clasp, [jewcomp]
29-30,Coffer, [jewcomp]
31-32,Collar, [jewcomp]
33-34,Comb, [jewcomp]
35,Coronet, [jewcomp]
36,Crown, [jewcomp]
37-38,Decanter, [chance]
39,Diadem, [jewcomp]
40-41,Earring, [jewcomp]
42-43,Ewer, [jewcomp]
44-45,Flagon, [chance]
46-47,Flask, [jewcomp]
48-49,Fob, [jewcomp]
50-51,Fork, [jewcomp]
52-53,Goblet, [chance]
54-55,Headband (fillet), [jewcomp]
56-57,Holy Symbol, [jewcomp]
58-59,Idol, [chance]
60-61,Incense Burner, [jewcomp]
62-63,Knife, [jewcomp]
64-65,Lamp, [jewcomp]
66-67,Locket, [jewcomp]
68-69,Medal, [jewcomp]
70-71,Medallion, [jewcomp]
72-73,Necklace, [jewcomp]
74,Orb, [jewcomp]
75-76,Pendant, [jewcomp]
77-78,Pin, [jewcomp]
79-80,Smoking pipe, [jewcomp]
81-82,Plate, [jewcomp]
83-84,Platter, [jewcomp]
85-86,Razor, [jewcomp]
87-88,Ring, [jewcomp]
89,Scepter, [jewcomp]
90-91,Sconce, [jewcomp]
92,Seal, [chance]
93-94,Spoon, [jewcomp]
95,Statuette/figurine, [chance]
96-97,Tankard, [jewcomp]
98,Tiara, [jewcomp]
99,Urn, [chance]
100,Vase, [chance]

:chance
1-4,opaque [spg]
5-10,[jewcomp]

:rjewellry
1-2,Altar, [rchance]
3-4,Anklet, [rjewcomp]
5-6,Armband, [rjewcomp]
7-8,Bell, [rjewcomp]
9-10,Belt, [rjewcomp]
11-12,Bracelet, [rjewcomp]
13-14,Bracket, [rjewcomp]
15-16,Brazier, [rjewcomp]
17-18,Brooch, [rjewcomp]
19,Candelabra, [rjewcomp]
20-21,Chain, [rjewcomp]
22,Chalice, [rchance]
23-24,Chimes, [rjewcomp]
25-26,Choker, [rjewcomp]
27-28,Clasp, [rjewcomp]
29-30,Coffer, [rjewcomp]
31-32,Collar, [rjewcomp]
33-34,Comb, [rjewcomp]
35,Coronet, [rjewcomp]
36,Crown, [rjewcomp]
37-38,Decanter, [rchance]
39,Diadem, [rjewcomp]
40-41,Earring, [rjewcomp]
42-43,Ewer, [rjewcomp]
44-45,Flagon, [rchance]
46-47,Flask, [rjewcomp]
48-49,Fob, [rjewcomp]
50-51,Fork, [rjewcomp]
52-53,Goblet, [rchance]
54-55,Headband (fillet), [rjewcomp]
56-57,Holy Symbol, [rjewcomp]
58-59,Idol, [rchance]
60-61,Incense Burner, [rjewcomp]
62-63,Knife, [rjewcomp]
64-65,Lamp, [rjewcomp]
66-67,Locket, [rjewcomp]
68-69,Medal, [rjewcomp]
70-71,Medallion, [rjewcomp]
72-73,Necklace, [rjewcomp]
74,Orb, [rjewcomp]
75-76,Pendant, [rjewcomp]
77-78,Pin, [rjewcomp]
79-80,Smoking pipe, [rjewcomp]
81-82,Plate, [rjewcomp]
83-84,Platter, [rjewcomp]
85-86,Razor, [rjewcomp]
87-88,Ring, [rjewcomp]
89,Scepter, [rjewcomp]
90-91,Sconce, [rjewcomp]
92,Seal, [rchance]
93-94,Spoon, [rjewcomp]
95,Statuette/figurine, [rchance]
96-97,Tankard, [rjewcomp]
98,Tiara, [rjewcomp]
99,Urn, [rchance]
100,Vase, [rchance]

:rchance
1-4,opaque [spg]
5-10,[rjewcomp]

:vrjewellry
1-2,Altar, [vrchance]
3-4,Anklet, [vrjewcomp]
5-6,Armband, [vrjewcomp]
7-8,Bell, [vrjewcomp]
9-10,Belt, [vrjewcomp]
11-12,Bracelet, [vrjewcomp]
13-14,Bracket, [vrjewcomp]
15-16,Brazier, [vrjewcomp]
17-18,Brooch, [vrjewcomp]
19,Candelabra, [vrjewcomp]
20-21,Chain, [vrjewcomp]
22,Chalice, [vrchance]
23-24,Chimes, [vrjewcomp]
25-26,Choker, [vrjewcomp]
27-28,Clasp, [vrjewcomp]
29-30,Coffer, [vrjewcomp]
31-32,Collar, [vrjewcomp]
33-34,Comb, [vrjewcomp]
35,Coronet, [vrjewcomp]
36,Crown, [vrjewcomp]
37-38,Decanter, [vrchance]
39,Diadem, [vrjewcomp]
40-41,Earring, [vrjewcomp]
42-43,Ewer, [vrjewcomp]
44-45,Flagon, [vrchance]
46-47,Flask, [vrjewcomp]
48-49,Fob, [vrjewcomp]
50-51,Fork, [vrjewcomp]
52-53,Goblet, [vrchance]
54-55,Headband (fillet), [vrjewcomp]
56-57,Holy Symbol, [vrjewcomp]
58-59,Idol, [vrchance]
60-61,Incense Burner, [vrjewcomp]
62-63,Knife, [vrjewcomp]
64-65,Lamp, [vrjewcomp]
66-67,Locket, [vrjewcomp]
68-69,Medal, [vrjewcomp]
70-71,Medallion, [vrjewcomp]
72-73,Necklace, [vrjewcomp]
74,Orb, [vrjewcomp]
75-76,Pendant, [vrjewcomp]
77-78,Pin, [vrjewcomp]
79-80,Smoking pipe, [vrjewcomp]
81-82,Plate, [vrjewcomp]
83-84,Platter, [vrjewcomp]
85-86,Razor, [vrjewcomp]
87-88,Ring, [vrjewcomp]
89,Scepter, [vrjewcomp]
90-91,Sconce, [vrjewcomp]
92,Seal, [vrchance]
93-94,Spoon, [vrjewcomp]
95,Statuette/figurine, [vrchance]
96-97,Tankard, [vrjewcomp]
98,Tiara, [vrjewcomp]
99,Urn, [vrchance]
100,Vase, [vrchance]

:vrchance
1-4,opaque [spg]
5-10,[vrjewcomp]

:vpjewcomp
1-10,100 Percent Copper
11-20,10 Percent [spg], 90 Percent Copper
21-30,20 Percent [spg], 80 Percent Copper
31-35,30 Percent [spg], 70 Percent Copper
36-40,40 Percent [spg], 60 Percent Copper
41-45,100 Percent Bronze
46-50,10 Percent [spg], 90 Percent Bronze
51-55,20 Percent [spg], 80 Percent Bronze
56-60,30 Percent [spg], 70 Percent Bronze
61-65,40 Percent [spg], 60 Percent Bronze
66-70,50 Percent [spg], 50 Percent Bronze
71-75,100 Percent Silver
76-80,10 Percent [spg], 90 Percent Silver
81-85,20 Percent [spg], 80 Percent Silver
86-90,30 Percent [spg], 70 Percent Silver
91-94,40 Percent [spg], 60 Percent Silver
95-97,50 Percent [spg], 50 Percent Silver
98-99,60 Percent [spg], 40 Percent Silver
100,70 Percent [spg], 30 Percent Silver

:pjewcomp
1-10,20 Percent [spg], 80 Percent Copper
11-20,30 Percent [spg], 70 Percent Copper
21-30,40 Percent [spg], 60 Percent Copper
31-35,100 Percent Bronze
36-40,10 Percent [spg], 90 Percent Bronze
41-45,20 Percent [spg], 80 Percent Bronze
46-50,30 Percent [spg], 70 Percent Bronze
51-55,40 Percent [spg], 60 Percent Bronze
56-60,50 Percent [spg], 50 Percent Bronze
61-65,100 Percent Silver
66-70,10 Percent [spg], 90 Percent Silver
71-75,20 Percent [spg], 80 Percent Silver
76-80,30 Percent [spg], 70 Percent Silver
81-85,40 Percent [spg], 60 Percent Silver
86-90,50 Percent [spg], 50 Percent Silver
91-94,60 Percent [spg], 40 Percent Silver
95-97,70 Percent [spg], 30 Percent Silver
98-99,70 Percent [pg], 30 Percent Silver
100,80 Percent [pg], 20 Percent Silver

:jewcomp
1-10,100 Percent Bronze
11-20,10 Percent [spg], 90 Percent Bronze
21-30,20 Percent [spg], 80 Percent Bronze
31-35,30 Percent [spg], 70 Percent Bronze
36-40,40 Percent [spg], 60 Percent Bronze
41-45,50 Percent [spg], 50 Percent Bronze
46-50,100 Percent Silver
51-55,10 Percent [spg], 90 Percent Silver
56-60,20 Percent [spg], 80 Percent Silver
61-65,30 Percent [spg], 70 Percent Silver
66-70,40 Percent [spg], 60 Percent Silver
71-75,50 Percent [spg], 50 Percent Silver
76-80,60 Percent [spg], 40 Percent Silver
81-85,70 Percent [spg], 30 Percent Silver
86-90,70 Percent [pg], 30 Percent Silver
91-94,80 Percent [pg], 20 Percent Silver
95-97,100 Percent Gold
98-99,10 Percent [pg], 90 Percent Gold
100,20 Percent [pg], 80 Percent Gold

:rjewcomp
1-10,50 Percent [spg], 50 Percent Bronze
11-20,60 Percent [spg], 40 Percent Bronze
21-30,100 Percent Silver
31-35,10 Percent [spg], 90 Percent Silver
36-40,20 Percent [spg], 80 Percent Silver
41-45,30 Percent [spg], 70 Percent Silver
46-50,40 Percent [spg], 60 Percent Silver
51-55,50 Percent [spg], 50 Percent Silver
56-60,60 Percent [spg], 40 Percent Silver
61-65,100 Percent Gold
66-70,10 Percent [spg], 90 Percent Gold
71-75,20 Percent [spg], 80 Percent Gold
76-80,30 Percent [spg], 70 Percent Gold
81-85,40 Percent [spg], 60 Percent Gold
86-90,50 Percent [spg], 50 Percent Gold
91-94,10 Percent [pg], 90 Percent Gold
95-97,20 Percent [pg], 80 Percent Gold
98-99,30 Percent [pg], 70 Percent Gold
100,40 Percent [pg], 60 Percent Gold

:vrjewcomp
1-10,100 Percent Gold
11-20,100 Percent Platinum
21-30,10 Percent [pg], 90 Percent Gold
31-35,20 Percent [pg], 80 Percent Gold
36-40,30 Percent [pg], 70 Percent Gold
41-45,40 Percent [pg], 60 Percent Gold
46-50,50 Percent [pg], 50 Percent Gold
51-55,60 Percent [pg], 40 Percent Gold
56-60,70 Percent [pg], 30 Percent Gold
61-65,80 Percent [pg], 20 Percent Gold
66-70,90 Percent [pg], 10 Percent Gold
71-75,10 Percent [pg], 90 Percent Platinum
76-80,20 Percent [pg], 80 Percent Platinum
81-85,30 Percent [pg], 70 Percent Platinum
86-90,40 Percent [pg], 60 Percent Platinum
91-94,50 Percent [pg], 50 Percent Platinum
95-97,60 Percent [pg], 40 Percent Platinum
98-99,70 Percent [pg], 30 Percent Platinum
100,80 Percent [pg], 20 Percent Platinum 
