# ---------------------------------------------------
# Last Update: modified by Valminder August 7, 2006.
# ---------------------------------------------------
#
# Gems
#
# Lists the description, base value, name and actual value
# (using the base value, size, and quality of each individual gem)
#
# Based on AD&D Dungeon Masters Guide by TSR
#
# HTML-formatted
#
# Ray Mason (Daerias@aol.com)
#
# -------------------------------------------------------------------------
# This Table Links to these tables as required:
#    None
#
# -------------------------------------------------------------------------
# This table is called by: (can be called by other tables also)
#    NPC Stat Block Pathfinder
#
# -------------------------------------------------------------------------
# Modified by Valminder, August  2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#

%BaseValue%,0
%C%,0
%Name%,0
%Type%,0

:Start
1,{Status~By Ray Mason, Valminder 2006}
_<b>Description:</b> [Stone]<br>
_<b>Base Value:</b> [Type=%Type%], [Base=%BaseValue%]<br>
2,Semi-precious stone
3,Fancy stone
4,Precious stone
5,Gem
6,Jewel

# -----------------------------------------------------------

:Name
1,Azurite
2,Banded agate
3,Blue quartz
4,Eye agate
5,Hematite
6,Lapiz lazuli
7,Malachite
8,Moss agate
9,Obsidian
10,Rhodochrosite
11,Tiger eye
12,Turquoise
13,Bloodstone
14,Carnelian
15,Chalcedony
16,Chrysoprase
17,Citrine
18,Jasper
19,Moonstone
20,Onyx
21,Rock Crystal
22,Sardonyx
23,Smoky Quartz
24,Star Rose Quartz
25,Zircon
26,Amber
27,Alexandrite
28,Amethyst
29,Chrysoberyl
30,Coral
31,Garnet
32,Jade
33,Jet
34,Pearl
35,Spinel
36,Tourmaline
37,Aquamarine
38,Peridot
39,Topaz
40,Black Opal
41,Emerald
42,Fire Opal
43,Opal
44,Oriental Amethyst
45,Oriental Topaz
46,Sapphire
47,Star Ruby
48,Star Sapphire
49,Black Sapphire
50,Diamond
51,Jacinth
52,Oriental Emerald
53,Ruby

# -----------------------------------------------------------

:Base
1,10 gold pieces
2,50 gold pieces
3,100 gold pieces
4,500 gold pieces
5,1000 gold pieces
6,4000 gold pieces

# -----------------------------------------------------------

:Quality
1,An excellent|C+8|
2-3,A good|C+4|
4-9,An above average|C+1|
10-25,An average
26-31,A below average|C-1|
32,A poor|C-4|

# -----------------------------------------------------------

:Value
1-22,1 gold piece
23,{Dice~1d3+1} gold pieces
24,{Dice~1d3+2} gold pieces
25,{Dice~1d4+3} gold pieces
26,{Dice~1d4+4} gold pieces
27,{Dice~1d5+5} gold pieces
28,1{Dice~1d6} gold pieces
29,2{Dice~1d9} gold pieces
30,3{Dice~1d9} gold pieces
31,4{Dice~1d9} gold pieces
32,5{Dice~1d9} gold pieces
33,6{Dice~1d9} gold pieces
34,7{Dice~1d9} gold pieces
35,9{Dice~1d9} gold pieces
36,1{Dice~1d5}0 gold pieces
37,2{Dice~1d5}0 gold pieces
38,3{Dice~1d9}0 gold pieces
39,4{Dice~1d9}0 gold pieces
40,5{Dice~1d5}0 gold pieces
41,6{Dice~1d5}0 gold pieces
42,7{Dice~1d9}0 gold pieces
43,9{Dice~1d9}0 gold pieces
44,1{Dice~1d3}{Dice~1d9}0 gold pieces
45,2{Dice~1d5}{Dice~1d9}0 gold pieces
46,2{Dice~1d9}{Dice~1d9}0 gold pieces
47,3{Dice~1d9}{Dice~1d9}0 gold pieces
48,4{Dice~1d3}{Dice~1d9}0 gold pieces
49,5{Dice~1d5}{Dice~1d9}0 gold pieces
50,6{Dice~1d9}{Dice~1d9}0 gold pieces
51,7{Dice~1d9}{Dice~1d9}0 gold pieces
52,8{Dice~1d3}{Dice~1d9}0 gold pieces
53,9{Dice~1d9}{Dice~1d9}0 gold pieces
54,11{Dice~1d9}{Dice~1d9}0 gold pieces
55,13{Dice~1d9}{Dice~1d9}0 gold pieces
56,15{Dice~1d9}{Dice~1d9}0 gold pieces
57,16{Dice~1d9}{Dice~1d9}0 gold pieces
58,17{Dice~1d9}{Dice~1d9}0 gold pieces
60-100,20{Dice~1d9}{Dice~1d9}0 gold pieces
